selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,long_n,short_n,long_precision_pct,short_precision_pct
S::cand_bid_refill_score_ge_0.5005::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,14,15,42.86,13.33,29,0,27.59,
S::cand_bid_refill_score_ge_0.5005::top2,single+top2,58,2.0,12,5,20.69,9.76,8.62,28,30,28.57,13.33,58,0,20.69,
S::cand_bid_refill_score_le_0.5005,single,305,10.517,39,40,12.79,31.71,13.11,158,147,17.09,8.16,305,0,12.79,
S::cand_bid_refill_score_le_0.5005::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,35.71,13.33,29,0,24.14,
S::cand_bid_refill_score_le_0.5005::top2,single+top2,58,2.0,12,4,20.69,9.76,6.9,28,30,28.57,13.33,58,0,20.69,
S::cand_bid_refill_score_ge_0.5012,single,103,3.552,10,11,9.71,8.13,10.68,47,56,10.64,8.93,103,0,9.71,
S::cand_bid_refill_score_ge_0.5012::top1,single+top1,29,1.0,5,3,17.24,4.07,10.34,14,15,21.43,13.33,29,0,17.24,
S::cand_bid_refill_score_ge_0.5012::top2,single+top2,56,1.931,6,8,10.71,4.88,14.29,26,30,15.38,6.67,56,0,10.71,
S::cand_bid_refill_score_le_0.5012,single,406,14.0,53,54,13.05,43.09,13.3,200,206,17.0,9.22,406,0,13.05,
S::cand_bid_refill_score_le_0.5012::top1,single+top1,29,1.0,10,2,34.48,8.13,6.9,14,15,42.86,26.67,29,0,34.48,
S::cand_bid_refill_score_le_0.5012::top2,single+top2,58,2.0,12,5,20.69,9.76,8.62,28,30,28.57,13.33,58,0,20.69,
S::cand_ask_refill_score_ge_0.4994,single,429,14.793,49,54,11.42,39.84,12.59,202,227,10.89,11.89,0,429,,11.42
S::cand_ask_refill_score_ge_0.4994::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,21.43,20.0,0,29,,20.69
S::cand_ask_refill_score_ge_0.4994::top2,single+top2,58,2.0,8,2,13.79,6.5,3.45,28,30,14.29,13.33,0,58,,13.79
S::cand_ask_refill_score_le_0.4994,single,107,3.69,11,20,10.28,8.94,18.69,57,50,10.53,10.0,0,107,,10.28
S::cand_ask_refill_score_le_0.4994::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,21.43,26.67,0,29,,24.14
S::cand_ask_refill_score_le_0.4994::top2,single+top2,55,1.897,8,6,14.55,6.5,10.91,26,29,15.38,13.79,0,55,,14.55
S::cand_ask_refill_score_ge_0.5001,single,322,11.103,37,35,11.49,30.08,10.87,152,170,11.84,11.18,0,322,,11.49
S::cand_ask_refill_score_ge_0.5001::top1,single+top1,29,1.0,5,0,17.24,4.07,0.0,14,15,21.43,13.33,0,29,,17.24
S::cand_ask_refill_score_ge_0.5001::top2,single+top2,58,2.0,6,1,10.34,4.88,1.72,28,30,10.71,10.0,0,58,,10.34
S::cand_ask_refill_score_le_0.5001,single,214,7.379,23,39,10.75,18.7,18.22,107,107,9.35,12.15,0,214,,10.75
S::cand_ask_refill_score_le_0.5001::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,14.29,26.67,0,29,,20.69
S::cand_ask_refill_score_le_0.5001::top2,single+top2,57,1.966,14,5,24.56,11.38,8.77,27,30,18.52,30.0,0,57,,24.56
S::cand_ask_refill_score_ge_0.5005,single,215,7.414,27,20,12.56,21.95,9.3,93,122,15.05,10.66,0,215,,12.56
S::cand_ask_refill_score_ge_0.5005::top1,single+top1,29,1.0,6,0,20.69,4.88,0.0,14,15,21.43,20.0,0,29,,20.69
S::cand_ask_refill_score_ge_0.5005::top2,single+top2,58,2.0,7,2,12.07,5.69,3.45,28,30,10.71,13.33,0,58,,12.07
S::cand_ask_refill_score_le_0.5005,single,321,11.069,33,54,10.28,26.83,16.82,166,155,8.43,12.26,0,321,,10.28
S::cand_ask_refill_score_le_0.5005::top1,single+top1,29,1.0,3,0,10.34,2.44,0.0,14,15,14.29,6.67,0,29,,10.34
S::cand_ask_refill_score_le_0.5005::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,28,30,14.29,16.67,0,58,,15.52
S::cand_ask_refill_score_ge_0.5011,single,108,3.724,11,9,10.19,8.94,8.33,45,63,11.11,9.52,0,108,,10.19
S::cand_ask_refill_score_ge_0.5011::top1,single+top1,28,0.966,4,1,14.29,3.25,3.57,14,14,21.43,7.14,0,28,,14.29
S::cand_ask_refill_score_ge_0.5011::top2,single+top2,54,1.862,6,5,11.11,4.88,9.26,26,28,11.54,10.71,0,54,,11.11
S::cand_ask_refill_score_le_0.5011,single,428,14.759,49,65,11.45,39.84,15.19,214,214,10.75,12.15,0,428,,11.45
S::cand_ask_refill_score_le_0.5011::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,14,15,14.29,13.33,0,29,,13.79
S::cand_ask_refill_score_le_0.5011::top2,single+top2,58,2.0,9,4,15.52,7.32,6.9,28,30,14.29,16.67,0,58,,15.52
S::cand_refill_with_ge_0.4994,single,835,28.793,99,104,11.86,80.49,12.46,408,427,12.75,11.01,408,427,12.25,11.48
S::cand_refill_with_ge_0.4994::top1,single+top1,29,1.0,10,0,34.48,8.13,0.0,14,15,35.71,33.33,14,15,28.57,40.0
S::cand_refill_with_ge_0.4994::top2,single+top2,58,2.0,14,0,24.14,11.38,0.0,28,30,21.43,26.67,27,31,29.63,19.35
S::cand_refill_with_le_0.4994,single,209,7.207,24,35,11.48,19.51,16.75,99,110,15.15,8.18,101,108,12.87,10.19
S::cand_refill_with_le_0.4994::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14,15,21.43,13.33,13,16,23.08,12.5
S::cand_refill_with_le_0.4994::top2,single+top2,58,2.0,11,3,18.97,8.94,5.17,28,30,25.0,13.33,29,29,20.69,17.24
S::cand_refill_with_ge_0.5,single,627,21.621,73,76,11.64,59.35,12.12,295,332,12.88,10.54,301,326,11.96,11.35
S::cand_refill_with_ge_0.5::top1,single+top1,29,1.0,8,0,27.59,6.5,0.0,14,15,28.57,26.67,14,15,28.57,26.67
S::cand_refill_with_ge_0.5::top2,single+top2,58,2.0,13,0,22.41,10.57,0.0,28,30,21.43,23.33,28,30,28.57,16.67
S::cand_refill_with_le_0.5,single,417,14.379,50,64,11.99,40.65,15.35,212,205,13.68,10.24,207,210,13.04,10.95
