feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_inband_cancel_vol_5m,5584062.9234,6476511.9618,7236309.1693,-0.2564,-0.1705,-0.33,-0.2179,-0.3443,123,774
dl2_inband_add_vol_5m,5584823.4553,6476620.2704,7236094.0506,-0.2562,-0.1704,-0.3298,-0.2177,-0.3442,123,774
dl2_add_vol_bid_5m,3124772.729,3622057.5088,4049888.7901,-0.2539,-0.167,-0.3276,-0.192,-0.3764,123,774
dl2_cancel_vol_bid_5m,3125268.7102,3621854.1818,4049738.0773,-0.2536,-0.1669,-0.3269,-0.1916,-0.3761,123,774
dl2_supportive_add_vol_5m,3095856.265,3585655.627,4002997.6942,-0.2518,-0.167,-0.3252,-0.1835,-0.3737,123,774
dl2_supportive_cancel_vol_5m,3094909.6141,3584669.5758,4001820.5009,-0.2518,-0.1669,-0.3252,-0.1833,-0.3738,123,774
dl2_n_add_ask_15m,339396.2358,380263.4987,404746.2374,-0.2512,-0.1571,-0.3414,-0.194,-0.4223,123,774
dl2_n_large_cancel_ask_15m,106895.0325,119612.6034,126940.3885,-0.2489,-0.1365,-0.3549,-0.1525,-0.4169,123,774
dl2_inband_opp_cancel_5m,2799634.7048,3242353.7667,3613110.2698,-0.248,-0.153,-0.3293,-0.2249,-0.3133,123,774
dl2_inband_opp_add_5m,2798901.5174,3240968.0085,3611302.2928,-0.2477,-0.1528,-0.3289,-0.2244,-0.3132,123,774
dl2_n_large_add_ask_15m,102532.7642,114183.4703,121443.7266,-0.2436,-0.1331,-0.3476,-0.145,-0.4164,123,774
dl2_opposing_large_cancel_15m,107406.3902,119723.1163,128150.2662,-0.2404,-0.1365,-0.3372,-0.1506,-0.4059,123,774
dl2_opposing_add_vol_5m,3129341.79,3603889.2303,4014450.8564,-0.2389,-0.1366,-0.3276,-0.206,-0.3144,123,774
dl2_opposing_cancel_vol_5m,3130053.3772,3604376.7794,4015161.9768,-0.2388,-0.137,-0.3269,-0.2058,-0.3143,123,774
dl2_inband_n_events_30m,2300404.6667,2560787.4806,2754524.7914,-0.2387,-0.2504,-0.2264,-0.1477,-0.4573,123,774
