variant,zone_id,date,direction,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pct,mfe_pct,mae_pct,time_in_trade_h,used_stop_pct
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774623813000-24,2026-03-27,LONG,1774625032,1774632828,66424.7,65760.453,stop,-1.0,0.285587,1.01393,2.1656,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774657037000-3,2026-03-28,LONG,1774657872,1774742399,66398.6,66340.0,timeout,-0.088255,1.349125,0.749413,23.4797,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774742430000-1,2026-03-29,SHORT,1774743767,1774754163,66253.0,66915.53,stop,-1.0,0.006037,1.032406,2.8878,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774757504000-12,2026-03-29,SHORT,1774760222,1774824312,66700.1,65366.098000000005,target_2pct,2.0,2.091301,0.383658,17.8028,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774826131000-24,2026-03-29,SHORT,1774827538,1774828799,65884.5,65980.4,timeout,-0.145558,0.064355,0.39296,0.3503,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774829268000-2,2026-03-30,LONG,1774829955,1774846826,66386.7,67714.434,target_2pct,2.0,2.015916,0.463647,4.6864,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774846621000-17,2026-03-30,SHORT,1774849343,1774876911,67461.9,68136.519,stop,-1.0,0.406007,1.092468,7.6578,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774874303000-25,2026-03-30,SHORT,1774877415,1774897672,67745.0,66390.1,target_2pct,2.0,2.019337,0.396339,5.6269,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774915354000-1,2026-03-31,LONG,1774917484,1774920844,66844.2,68181.084,target_2pct,2.0,2.279779,0.125965,0.9333,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774938806000-13,2026-03-31,SHORT,1774941116,1774975298,67277.7,67950.477,stop,-1.0,1.979408,1.002115,9.495,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774990827000-28,2026-03-31,LONG,1774993977,1775001599,68323.1,68241.2,timeout,-0.119872,0.087233,0.575354,2.1172,1.0
