venue,date,dir,regime,status,reasons,confluence,hypo_entry,outcome,true_mfe
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,4,68690.5,WIN,7.773
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,68488.9,WIN,8.091
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,69351.9,WIN,6.745
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,69351.9,WIN,6.745
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,2,69488.4,LOSS,0.02
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,69399.9,LOSS,0.432
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,70979.9,WIN,4.297
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,71303.4,WIN,3.824
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,71284.5,WIN,3.851
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,1,71312.0,LOSS,1.049
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down,3,71200.2,LOSS,0.893
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down,2,71430.0,LOSS,1.212
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,1,71474.9,WIN,3.575
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,71792.4,LOSS,3.117
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down,3,70735.0,LOSS,0.242
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down,2,70744.4,LOSS,0.255
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down,2,70760.1,LOSS,0.277
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;buyer_absorption,3,70848.1,LOSS,0.401
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,1,71351.6,WIN,3.754
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,71704.4,WIN,3.243
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,1,72098.0,LOSS,1.164
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,72465.7,WIN,2.159
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,3,72789.0,LOSS,2.794
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,3,72789.0,LOSS,2.794
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,73142.4,LOSS,1.214
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,73242.6,LOSS,1.075
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,73197.8,LOSS,1.137
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,2,73202.5,WIN,3.343
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,1,73177.1,LOSS,1.166
