selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_precision_pct,h2_precision_pct,long_precision_pct,short_precision_pct,avg_lead_min,median_lead_min
L2::S::score_absorption_ge_0.6836::top1,single+top1,29,1.0,4,2,13.79,3.25,6.9,14.29,13.33,25.0,0.0,81.91,71.93
L2::S::score_absorption_ge_0.6836::top2,single+top2,57,1.966,6,4,10.53,4.88,7.02,11.11,10.0,18.52,3.33,99.81,86.81
L2::S::score_absorption_le_0.6836,single,834,28.759,95,120,11.39,77.24,14.39,13.73,9.07,11.79,11.01,98.16,87.97
L2::S::score_absorption_le_0.6836::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,7.14,20.0,20.0,10.53,141.02,158.75
L2::S::score_absorption_le_0.6836::top2,single+top2,58,2.0,9,3,15.52,7.32,5.17,10.71,20.0,16.0,15.15,125.87,140.95
L2::S::score_refill_ge_0.4994,single,835,28.793,96,113,11.5,78.05,13.53,12.98,10.02,12.78,10.32,97.68,87.28
L2::S::score_refill_ge_0.4994::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,21.43,13.33,27.27,11.11,123.84,140.95
L2::S::score_refill_ge_0.4994::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,17.86,16.67,18.52,16.13,110.91,102.41
L2::S::score_refill_le_0.4994,single,209,7.207,27,26,12.92,21.95,12.44,14.44,11.76,10.91,15.15,91.92,85.95
L2::S::score_refill_le_0.4994::top1,single+top1,29,1.0,6,2,20.69,4.88,6.9,14.29,26.67,23.53,16.67,130.32,143.06
L2::S::score_refill_le_0.4994::top2,single+top2,58,2.0,10,6,17.24,8.13,10.34,14.29,20.0,13.33,21.43,100.44,72.47
L2::S::score_refill_ge_0.5,single,627,21.621,73,84,11.64,59.35,13.4,13.49,9.91,13.04,10.37,103.91,96.98
L2::S::score_refill_ge_0.5::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,21.43,13.33,25.0,11.76,124.44,140.95
L2::S::score_refill_ge_0.5::top2,single+top2,58,2.0,9,3,15.52,7.32,5.17,14.29,16.67,21.74,11.43,116.47,140.95
L2::S::score_refill_le_0.5,single,417,14.379,50,55,11.99,40.65,13.19,12.87,11.16,11.48,12.5,85.46,84.4
L2::S::score_refill_le_0.5::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,7.14,26.67,18.75,15.38,128.13,101.07
L2::S::score_refill_le_0.5::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,14.29,23.33,17.65,20.83,91.81,60.88
L2::S::score_refill_ge_0.5006,single,418,14.414,43,50,10.29,34.96,11.96,10.31,10.27,12.0,8.72,105.98,96.98
