selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_10m,stop_1.25,29,12,41.38,0.2702,0.1302,1.425,1.184,3.7765,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_10m,stop_1.5,29,12,41.38,0.1495,0.0095,1.198,1.011,0.2765,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_15m,stop_1.25,29,12,41.38,0.2607,0.1207,1.403,1.168,3.5003,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_15m,stop_1.5,29,12,41.38,0.1428,0.0028,1.187,1.003,0.0826,5
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_15m,stop_1.0,29,12,41.38,0.39,0.25,1.754,1.424,7.2503,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_5m,stop_1.0,29,12,41.38,0.3368,0.1968,1.666,1.34,5.7086,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_15m,stop_1.0,29,12,41.38,0.3448,0.2048,1.667,1.347,5.9405,5
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_10m,stop_1.5,27,11,40.74,0.066,-0.074,1.085,0.913,-1.9976,6
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_15m,stop_1.5,27,11,40.74,0.0741,-0.0659,1.095,0.922,-1.7795,6
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_5m,stop_1.0,28,11,39.29,0.2774,0.1374,1.529,1.229,3.8486,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_15m,stop_1.0,28,11,39.29,0.2857,0.1457,1.533,1.239,4.0805,6
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,confirmed,stop_1.0,29,11,37.93,0.3181,0.1781,1.634,1.31,5.1636,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_15m,stop_1.25,29,11,37.93,0.1829,0.0429,1.282,1.059,1.2444,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,confirmed,stop_1.0,29,11,37.93,0.1851,0.0451,1.316,1.067,1.3073,6
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,confirmed,stop_1.0,29,11,37.93,0.3181,0.1781,1.634,1.31,5.1636,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_15m,stop_1.25,29,11,37.93,0.1829,0.0429,1.282,1.059,1.2444,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,confirmed,stop_1.0,29,11,37.93,0.3181,0.1781,1.634,1.31,5.1636,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_15m,stop_1.25,29,11,37.93,0.1829,0.0429,1.282,1.059,1.2444,3
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,confirmed,stop_1.0,29,11,37.93,0.1851,0.0451,1.316,1.067,1.3073,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_5m,stop_1.0,29,11,37.93,0.1832,0.0432,1.313,1.065,1.2539,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_15m,stop_1.0,29,11,37.93,0.2866,0.1466,1.519,1.233,4.2503,5
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_10m,stop_1.0,29,11,37.93,0.2857,0.1457,1.518,1.232,4.2254,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_5m,stop_1.0,29,11,37.93,0.3027,0.1627,1.598,1.279,4.7185,3
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_10m,stop_1.25,27,10,37.04,0.0753,-0.0647,1.108,0.916,-1.7476,6
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_10m,stop_1.0,29,10,34.48,0.1304,-0.0096,1.222,0.986,-0.2776,5
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_10m,stop_1.0,29,10,34.48,0.1156,-0.0244,1.197,0.964,-0.7068,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_5m,stop_1.0,29,10,34.48,0.1993,0.0593,1.368,1.095,1.7185,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_5m,stop_1.0,29,10,34.48,0.2104,0.0704,1.389,1.114,2.0406,5
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_15m,stop_1.0,29,10,34.48,0.2298,0.0898,1.416,1.143,2.6037,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_5m,stop_1.0,29,10,34.48,0.0798,-0.0602,1.129,0.915,-1.7461,7
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_15m,stop_1.0,29,10,34.48,0.1831,0.0431,1.312,1.065,1.2503,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_5m,stop_1.0,29,10,34.48,0.1993,0.0593,1.368,1.095,1.7185,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_5m,stop_1.0,29,10,34.48,0.2104,0.0704,1.389,1.114,2.0406,5
