date,zone_id,direction,stage_reached,candidate_iso,confirmed_iso,trigger_iso,zone_low,zone_high,zone_mid,zone_width_pct,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,utc_hour,session,session_bucket,weekday,is_session_open_2h,_label_unique_move_id,_label_engine_class,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-02,BTC-USDT-SWAP-SHORT-1772419273000-12,SHORT,confirmed,2026-03-02T02:41:13+00:00,2026-03-02T03:16:25+00:00,,66078.35,66573.15,66325.75,0.7460149338680503,35.2,,,3.0,asia,asia,0,0,,invalidated_or_expired,MID,covered_mid,-125.07,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772420976000-15,LONG,triggered,2026-03-02T03:09:36+00:00,2026-03-02T03:34:24+00:00,2026-03-02T03:37:41+00:00,66316.575125,66857.85,66587.2125625,0.8128811136101425,24.8,3.283333333333333,28.083333333333332,3.0,asia,asia,0,0,1,duplicate_reached_move,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772422168000-17,SHORT,triggered,2026-03-02T03:29:28+00:00,2026-03-02T03:49:35+00:00,2026-03-02T06:03:39+00:00,66682.85,67006.25,66844.55,0.4838090764318021,20.116666666666667,134.06666666666666,154.18333333333334,3.0,asia,asia,0,0,,failed_triggered,MID,covered_mid,-158.23,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772421927000-16,SHORT,triggered,2026-03-02T03:25:27+00:00,2026-03-02T03:29:28+00:00,2026-03-02T06:03:54+00:00,66641.212725,66843.25,66742.2313625,0.3027127964941137,4.016666666666667,154.43333333333334,158.45,3.0,asia,asia,0,0,,failed_triggered,MID,covered_mid,-138.12,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772423133000-18,LONG,confirmed,2026-03-02T03:45:33+00:00,2026-03-02T03:55:58+00:00,,66806.05,66999.85,66902.95000000001,0.28967332531675044,10.416666666666666,,,3.0,asia,asia,0,0,,invalidated_or_expired,BAD,wrong_direction,,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772434429000-19,SHORT,triggered,2026-03-02T06:53:49+00:00,2026-03-02T07:00:06+00:00,2026-03-02T07:04:45+00:00,66055.305825,66219.95,66137.6279125,0.24894176007917618,6.283333333333333,4.65,10.933333333333334,7.0,europe,europe,0,1,,failed_triggered,MID,covered_mid,-348.75,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772436650000-21,SHORT,triggered,2026-03-02T07:30:50+00:00,2026-03-02T08:00:51+00:00,2026-03-02T08:27:42+00:00,65731.867625,65992.25,65862.0588125,0.3953450282222014,30.016666666666666,26.85,56.86666666666667,8.0,europe,europe,0,1,,failed_triggered,BAD,covered_late,-409.5,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772436154000-20,SHORT,confirmed,2026-03-02T07:22:34+00:00,2026-03-02T07:30:50+00:00,,65554.256475,65830.85,65692.5532375,0.42104243383573187,8.266666666666667,,,7.0,europe,europe,0,1,,invalidated_or_expired,MID,covered_mid,-379.48,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772454967000-22,SHORT,triggered,2026-03-02T12:36:07+00:00,2026-03-02T12:54:25+00:00,2026-03-02T13:04:10+00:00,65887.65,66051.559275,65969.6046375,0.24846181192184916,18.3,9.75,28.05,12.0,europe,europe,0,0,,failed_triggered,BAD,covered_late,-703.07,2.7554,first
2026-03-02,BTC-USDT-SWAP-LONG-1772461492000-27,LONG,triggered,2026-03-02T14:24:52+00:00,2026-03-02T14:28:01+00:00,2026-03-02T14:28:44+00:00,65357.95,65555.35,65456.65,0.30157363690321565,3.15,0.7166666666666667,3.8666666666666667,14.0,us,us,0,1,1,duplicate_reached_move,MID,covered_mid,-23.77,7.465,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772459757000-24,SHORT,confirmed,2026-03-02T13:55:57+00:00,2026-03-02T14:00:01+00:00,,65347.759775,65470.149999999994,65408.9548875,0.18711539606541702,4.066666666666666,,,14.0,us,us,0,1,,invalidated_or_expired,BAD,covered_late,-768.67,2.7554,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772460162000-25,SHORT,confirmed,2026-03-02T14:02:42+00:00,2026-03-02T14:10:25+00:00,,65267.05,65526.75,65396.9,0.3971136246519286,7.716666666666667,,,14.0,us,us,0,1,,invalidated_or_expired,BAD,wrong_direction,,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772459159000-23,LONG,triggered,2026-03-02T13:45:59+00:00,2026-03-02T14:24:52+00:00,2026-03-02T14:33:30+00:00,65267.05,65619.45,65443.25,0.5384818143964338,38.88333333333333,8.633333333333333,47.516666666666666,14.0,us,us,0,1,1,duplicate_reached_move,MID,covered_mid,-20.62,7.465,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772461132000-26,SHORT,confirmed,2026-03-02T14:18:52+00:00,2026-03-02T14:38:01+00:00,,65347.25,66327.95,65837.6,1.4895743465739897,19.15,,,14.0,us,us,0,1,,invalidated_or_expired,BAD,wrong_direction,,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772464005000-28,LONG,triggered,2026-03-02T15:06:45+00:00,2026-03-02T15:20:34+00:00,2026-03-02T15:21:07+00:00,67224.02117499999,68573.45,67898.73558749999,1.9874137763007722,13.816666666666666,0.55,14.366666666666667,15.0,us,us,0,1,,failed_triggered,MID,covered_mid,-76.32,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772464013000-29,LONG,triggered,2026-03-02T15:06:53+00:00,2026-03-02T15:20:34+00:00,2026-03-02T15:21:07+00:00,67280.29302499999,68573.45,67926.87151249999,1.9037487612866684,13.683333333333334,0.55,14.233333333333333,15.0,us,us,0,1,,failed_triggered,MID,covered_mid,-76.32,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772465497000-30,LONG,triggered,2026-03-02T15:31:37+00:00,2026-03-02T15:44:47+00:00,2026-03-02T15:46:55+00:00,68396.65,69489.95,68943.29999999999,1.5857958641376364,13.166666666666666,2.1333333333333333,15.3,15.0,us,us,0,1,,failed_triggered,BAD,covered_late,-100.53,7.465,first
2026-03-02,BTC-USDT-SWAP-LONG-1772468544000-32,LONG,triggered,2026-03-02T16:22:24+00:00,2026-03-02T16:32:23+00:00,2026-03-02T16:44:29+00:00,69212.25,69709.95,69461.1,0.716516150766396,9.983333333333333,12.1,22.083333333333332,16.0,us,us,0,0,,failed_triggered,BAD,covered_late,-148.13,7.465,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772471902000-34,SHORT,triggered,2026-03-02T17:18:22+00:00,2026-03-02T17:21:22+00:00,2026-03-02T17:43:18+00:00,69143.65,69418.05,69280.85,0.3960690436101877,3.0,21.933333333333334,24.933333333333334,17.0,us,us,0,0,,failed_triggered,BAD,missed_no_move_in_4h,,,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772471938000-35,SHORT,triggered,2026-03-02T17:18:58+00:00,2026-03-02T17:26:02+00:00,2026-03-02T17:43:18+00:00,69109.07817499999,69418.05,69263.5640875,0.4460813258319972,7.066666666666666,17.266666666666666,24.333333333333332,17.0,us,us,0,0,,failed_triggered,BAD,missed_no_move_in_4h,,,first
2026-03-02,BTC-USDT-SWAP-LONG-1772470363000-33,LONG,confirmed,2026-03-02T16:52:43+00:00,2026-03-02T17:04:11+00:00,,69331.55,69811.838475,69571.69423749999,0.690350407969672,11.466666666666667,,,17.0,us,us,0,0,,invalidated_or_expired,BAD,missed_no_move_in_4h,,,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772472002000-36,SHORT,triggered,2026-03-02T17:20:02+00:00,2026-03-02T17:26:02+00:00,2026-03-02T17:43:37+00:00,69219.023175,69418.05,69318.5365875,0.2871191961024434,6.0,17.583333333333332,23.583333333333332,17.0,us,us,0,0,,failed_triggered,BAD,missed_no_move_in_4h,,,first
2026-03-02,BTC-USDT-SWAP-SHORT-1772468028000-31,SHORT,confirmed,2026-03-02T16:13:48+00:00,2026-03-02T16:26:29+00:00,,68536.45,70054.95,69295.7,2.1913336613960173,12.683333333333334,,,16.0,us,us,0,0,,no_trigger,BAD,wrong_direction,,7.465,first
