_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779592392000-9,SHORT,NOISE,MID,1.028,-0.896,TIMEOUT,-0.4103,0.3736,-0.3736,-0.004883118962671041,1,BULL,0.1775,145.35,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779620871000-15,SHORT,NOISE,MID,1.571,-0.607,TIMEOUT,-0.3349,0.2615,-0.2615,0.07943895773815873,1,BULL,0.3423,44.92,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779619397000-14,SHORT,NOISE,MID,1.414,-0.767,TIMEOUT,-0.6137,-0.3711,0.3711,0.14134718949405148,0,BULL,0.5023,28.27,0,0,1,0.4642,0,1,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779621611000-16,LONG,NOISE,MID,0.614,-1.565,LOSS,-1.64,-0.0775,-0.0775,0.13748715143573392,0,BULL,0.3488,57.47,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779629292000-18,SHORT,NOISE,MID,1.131,-1.057,TIMEOUT,-0.6058,-0.0404,0.0404,-0.36157885583958216,1,BULL,0.7912,165.13,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779630050000-19,SHORT,NOISE,MID,1.075,-1.114,TIMEOUT,-0.707,0.0874,-0.0874,0.18327116964172735,1,BULL,0.848,155.82,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779618866000-12,LONG,MID,MID,0.771,-1.41,TIMEOUT,0.3644,0.2858,0.2858,0.28308866894710333,0,BULL,0.506,7.58,0,1,0,0.4642,1,0,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779618938000-13,LONG,MID,MID,0.775,-1.406,TIMEOUT,0.3541,0.2738,0.2738,-0.3774434659264086,1,BULL,0.5103,8.82,0,1,0,0.4642,1,0,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779625522000-17,LONG,MID,MID,0.897,-1.287,TIMEOUT,0.2729,-0.3956,-0.3956,-0.2232970651323242,0,BULL,0.6316,118.42,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779631417000-20,SHORT,NOISE,MID,0.866,-1.328,TIMEOUT,-1.0804,-0.1895,0.1895,-0.3928009018495417,0,BULL,1.0609,135.82,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779633615000-24,SHORT,NOISE,MID,0.516,-1.685,LOSS,-1.64,-0.011,0.011,-0.13471678561386533,1,BULL,1.1517,102.72,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779632815000-21,SHORT,NOISE,MID,0.544,-1.656,LOSS,-1.64,-0.0621,0.0621,-0.18638644586875164,0,BULL,1.1228,105.72,0,0,,,0,0,
