date,zone_id,direction,class,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,trigger_to_target_min_canonical_1pct_stop,trigger_to_stop_min_canonical_1pct_stop,filter_kept,filter_fast_ok,filter_dup_suppressed
2026-03-18,BTC-USDT-SWAP-SHORT-1773844698000-36,SHORT,failed_triggered,2026-03-18T14:38:18+00:00,2026-03-18T14:41:18+00:00,2026-03-18T14:43:52+00:00,3.0,2.566666666666667,5.566666666666666,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773844837000-39,SHORT,failed_triggered,2026-03-18T14:40:37+00:00,2026-03-18T14:50:30+00:00,2026-03-18T14:53:14+00:00,9.883333333333333,2.7333333333333334,12.616666666666667,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773844787000-38,SHORT,failed_triggered,2026-03-18T14:39:47+00:00,2026-03-18T14:50:30+00:00,2026-03-18T14:53:22+00:00,10.716666666666667,2.8666666666666667,13.583333333333334,,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773848497000-43,LONG,failed_triggered,2026-03-18T15:41:37+00:00,2026-03-18T15:47:30+00:00,2026-03-18T15:57:27+00:00,5.883333333333334,9.95,15.833333333333334,,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773846823000-41,SHORT,invalidated_or_expired,2026-03-18T15:13:43+00:00,2026-03-18T15:16:43+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773846814000-40,SHORT,invalidated_or_expired,2026-03-18T15:13:34+00:00,2026-03-18T15:16:34+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773849364000-44,SHORT,failed_triggered,2026-03-18T15:56:04+00:00,2026-03-18T16:00:04+00:00,2026-03-18T16:06:02+00:00,4.0,5.966666666666667,9.966666666666667,,,True,True,False
2026-03-18,BTC-USDT-SWAP-LONG-1773854692000-45,LONG,failed_triggered,2026-03-18T17:24:52+00:00,2026-03-18T17:35:34+00:00,2026-03-18T17:38:47+00:00,10.7,3.216666666666667,13.916666666666666,,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773847388000-42,SHORT,invalidated_or_expired,2026-03-18T15:23:08+00:00,2026-03-18T15:56:04+00:00,,32.93333333333333,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773856508000-46,LONG,invalidated_or_expired,2026-03-18T17:55:08+00:00,2026-03-18T18:14:53+00:00,,19.75,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773857693000-48,LONG,invalidated_or_expired,2026-03-18T18:14:53+00:00,2026-03-18T18:24:47+00:00,,9.9,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773857396000-47,SHORT,failed_triggered,2026-03-18T18:09:56+00:00,2026-03-18T18:18:38+00:00,2026-03-18T18:54:48+00:00,8.7,36.166666666666664,44.86666666666667,,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773861038000-49,SHORT,failed_triggered,2026-03-18T19:10:38+00:00,2026-03-18T19:14:27+00:00,2026-03-18T19:33:09+00:00,3.816666666666667,18.7,22.516666666666666,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773861090000-50,SHORT,failed_triggered,2026-03-18T19:11:30+00:00,2026-03-18T19:14:30+00:00,2026-03-18T19:33:32+00:00,3.0,19.033333333333335,22.033333333333335,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773862102000-51,SHORT,failed_triggered,2026-03-18T19:28:22+00:00,2026-03-18T19:31:31+00:00,2026-03-18T19:34:27+00:00,3.15,2.933333333333333,6.083333333333333,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773863194000-52,SHORT,failed_triggered,2026-03-18T19:46:34+00:00,2026-03-18T19:49:36+00:00,2026-03-18T20:05:55+00:00,3.033333333333333,16.316666666666666,19.35,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773865224000-55,SHORT,invalidated_or_expired,2026-03-18T20:20:24+00:00,2026-03-18T20:23:30+00:00,,3.1,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773863225000-53,SHORT,no_trigger,2026-03-18T19:47:05+00:00,2026-03-18T20:20:24+00:00,,33.31666666666667,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773864839000-54,LONG,no_trigger,2026-03-18T20:13:59+00:00,2026-03-18T20:46:03+00:00,,32.06666666666667,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773866301000-56,SHORT,no_trigger,2026-03-18T20:38:21+00:00,2026-03-18T20:41:21+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773866763000-57,LONG,no_trigger,2026-03-18T20:46:03+00:00,2026-03-18T20:49:21+00:00,,3.3,,,,,,,
