zone_id,date,direction,tz_entry_ref_price,tz_target_type,tz_target_price,tz_target_distance_pct,tz_has_target_ge_2pct,tz_room_to_run_pct,tz_nearest_obstacle_type
BTC-USDT-SWAP-SHORT-1773361797000-3,2026-03-13,SHORT,71622.3,swing_low,70160.5,2.041,1,0.1009,hvn
BTC-USDT-SWAP-LONG-1773396407000-11,2026-03-13,LONG,72146.7,blocked,,0.1837,0,0.1837,session_high
BTC-USDT-SWAP-LONG-1773396646000-12,2026-03-13,LONG,72284.1,blocked,,0.2807,0,0.2807,session_high
BTC-USDT-SWAP-LONG-1773397689000-13,2026-03-13,LONG,72321.1,blocked,,0.2294,0,0.2294,session_high
BTC-USDT-SWAP-LONG-1773398532000-14,2026-03-13,LONG,72467.9,blocked,,0.1112,0,0.1112,session_high
BTC-USDT-SWAP-SHORT-1773396389000-10,2026-03-13,SHORT,72337.1,session_low,70345.2,2.7536,1,0.6734,hvn
BTC-USDT-SWAP-SHORT-1773398894000-15,2026-03-13,SHORT,72288.1,session_low,70345.2,2.6877,1,0.606,hvn
BTC-USDT-SWAP-LONG-1773406851000-17,2026-03-13,LONG,72743.9,blocked,,0.1733,0,0.1733,session_high
BTC-USDT-SWAP-LONG-1773406983000-18,2026-03-13,LONG,72813.4,blocked,,0.0777,0,0.0777,swing_high
BTC-USDT-SWAP-SHORT-1773406290000-16,2026-03-13,SHORT,72700.3,swing_low,71212.6,2.0463,1,0.0895,swing_high
BTC-USDT-SWAP-SHORT-1773407290000-19,2026-03-13,SHORT,72709.0,swing_low,71200.0,2.0754,1,0.2106,swing_high
BTC-USDT-SWAP-SHORT-1773408336000-22,2026-03-13,SHORT,73010.8,hvn,71550.0,2.0008,1,0.7681,hvn
BTC-USDT-SWAP-SHORT-1773408172000-20,2026-03-13,SHORT,73030.7,hvn,71550.0,2.0275,1,0.7294,swing_high
BTC-USDT-SWAP-SHORT-1773408283000-21,2026-03-13,SHORT,73010.8,hvn,71550.0,2.0008,1,0.7681,hvn
BTC-USDT-SWAP-LONG-1773410785000-23,2026-03-13,LONG,73395.9,blocked,,0.2617,0,0.2617,session_high
BTC-USDT-SWAP-SHORT-1773417139000-25,2026-03-13,SHORT,71737.7,blocked,,0.5265,0,0.5265,swing_low
BTC-USDT-SWAP-SHORT-1773418383000-26,2026-03-13,SHORT,71625.0,blocked,,0.2777,0,0.2777,swing_low
BTC-USDT-SWAP-SHORT-1773424644000-29,2026-03-13,SHORT,71000.6,blocked,,0.9231,0,0.9231,session_low
BTC-USDT-SWAP-SHORT-1773426956000-31,2026-03-13,SHORT,71208.2,blocked,,0.0817,0,0.0817,hvn
BTC-USDT-SWAP-SHORT-1773425887000-30,2026-03-13,SHORT,71200.0,blocked,,0.2809,0,0.2809,hvn
BTC-USDT-SWAP-SHORT-1773413760000-24,2026-03-13,SHORT,72439.8,session_low,70345.2,2.8915,1,0.0549,hvn
BTC-USDT-SWAP-SHORT-1773419298000-27,2026-03-13,SHORT,71927.2,session_low,70345.2,2.1994,1,0.1768,hvn
BTC-USDT-SWAP-SHORT-1773419322000-28,2026-03-13,SHORT,71927.2,session_low,70345.2,2.1994,1,0.1768,hvn
BTC-USDT-SWAP-SHORT-1773441907000-32,2026-03-13,SHORT,70685.3,blocked,,0.1094,0,0.1094,swing_low
BTC-USDT-SWAP-SHORT-1773446937000-1,2026-03-14,SHORT,70811.9,blocked,,0.1459,0,0.1459,session_low
BTC-USDT-SWAP-SHORT-1773450492000-5,2026-03-14,SHORT,70745.6,blocked,,0.0523,0,0.0523,swing_low
BTC-USDT-SWAP-SHORT-1773449958000-4,2026-03-14,SHORT,70694.1,blocked,,0.2502,0,0.2502,session_low
BTC-USDT-SWAP-LONG-1773448191000-2,2026-03-14,LONG,70846.2,blocked,,0.0586,0,0.0586,swing_high
BTC-USDT-SWAP-LONG-1773448333000-3,2026-03-14,LONG,70645.4,blocked,,0.0563,0,0.0563,swing_low
BTC-USDT-SWAP-LONG-1773460634000-10,2026-03-14,LONG,71042.6,blocked,,0.1258,0,0.1258,session_high
BTC-USDT-SWAP-LONG-1773457959000-6,2026-03-14,LONG,71041.1,blocked,,0.0829,0,0.0829,swing_low
