date,zone_id,direction,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-07,BTC-USDT-SWAP-LONG-1772842451000-1,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772843979000-3,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772844248000-4,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772850673000-5,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772852776000-6,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772842770000-2,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772860169000-10,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772857253000-9,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772856582000-8,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772856498000-7,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772869985000-15,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772870125000-16,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772867910000-12,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772866698000-11,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772872987000-18,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772872211000-17,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772868613000-13,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772877219000-19,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772869703000-14,SHORT,BAD,missed_no_move_in_4h,,,first
