selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,max_consecutive_losses
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.0,27,9,33.33,0.076,-0.064,1.125,0.908,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,confirmed,stop_1.25,27,9,33.33,0.027,-0.113,1.038,0.857,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,confirmed,stop_1.5,27,9,33.33,-0.1119,-0.2519,0.868,0.729,7
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.0,27,9,33.33,0.1235,-0.0165,1.22,0.974,4
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.0,27,9,33.33,0.076,-0.064,1.125,0.908,4
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,confirmed,stop_1.0,22,7,31.82,0.1284,-0.0116,1.224,0.982,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_10m,stop_1.0,22,7,31.82,0.1276,-0.0124,1.223,0.981,4
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_5m,stop_1.0,27,8,29.63,0.0773,-0.0627,1.131,0.907,5
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_10m,stop_1.0,27,8,29.63,0.0529,-0.0871,1.088,0.873,5
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,confirmed,stop_1.0,27,8,29.63,0.0548,-0.0852,1.09,0.877,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_5m,stop_1.0,27,8,29.63,-0.0085,-0.1485,0.987,0.798,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_5m,stop_1.0,22,6,27.27,0.0041,-0.1359,1.007,0.807,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.5848::top1,delay_15m,stop_1.0,22,6,27.27,-0.0047,-0.1447,0.992,0.794,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_10m,stop_1.0,27,7,25.93,-0.0485,-0.1885,0.924,0.744,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_15m,stop_1.0,27,7,25.93,-0.0414,-0.1814,0.935,0.752,6
