zone_id,date,dir,regime,class,true_mfe,true_mae,time_to_2_min,time_to_2_5_min
BTC-USDT-SWAP-LONG-1778112013000-1,2026-05-07,LONG,RANGE,MID,0.534,-2.251,,
BTC-USDT-SWAP-LONG-1778126481000-10,2026-05-07,LONG,RANGE,MID,1.067,-2.107,,
BTC-USDT-SWAP-LONG-1778114741000-6,2026-05-07,LONG,RANGE,MID,0.779,-2.013,,
BTC-USDT-SWAP-LONG-1778113698000-5,2026-05-07,LONG,RANGE,MID,0.787,-2.005,,
BTC-USDT-SWAP-LONG-1778137504000-11,2026-05-07,LONG,RANGE,MID,0.201,-2.946,,
BTC-USDT-SWAP-SHORT-1778138721000-13,2026-05-07,SHORT,RANGE,STRONG_3,3.001,-0.127,470.3,597.7
BTC-USDT-SWAP-LONG-1778137981000-12,2026-05-07,LONG,RANGE,MID,0.003,-2.994,,
BTC-USDT-SWAP-LONG-1778142370000-14,2026-05-07,LONG,RANGE,MID,0.068,-2.593,,
BTC-USDT-SWAP-SHORT-1778150798000-16,2026-05-07,SHORT,RANGE,WEAK_WIN_2,2.081,-0.439,966.3,
BTC-USDT-SWAP-LONG-1778149972000-15,2026-05-07,LONG,RANGE,MID,0.427,-2.093,,
BTC-USDT-SWAP-SHORT-1778162701000-18,2026-05-07,SHORT,RANGE,MID,1.649,-0.104,,
BTC-USDT-SWAP-SHORT-1778162367000-17,2026-05-07,SHORT,RANGE,MID,1.705,-0.203,,
BTC-USDT-SWAP-LONG-1778163360000-19,2026-05-07,LONG,RANGE,MID,0.076,-1.676,,
BTC-USDT-SWAP-SHORT-1778165101000-21,2026-05-07,SHORT,RANGE,MID,1.247,-0.502,,
BTC-USDT-SWAP-SHORT-1778168862000-27,2026-05-07,SHORT,RANGE,MID,1.027,-0.726,,
BTC-USDT-SWAP-LONG-1778163670000-20,2026-05-07,LONG,RANGE,MID,0.445,-1.303,,
BTC-USDT-SWAP-LONG-1778168050000-26,2026-05-07,LONG,RANGE,MID,0.653,-1.099,,
BTC-USDT-SWAP-LONG-1778167890000-25,2026-05-07,LONG,RANGE,MID,0.754,-1.0,,
BTC-USDT-SWAP-SHORT-1778167608000-23,2026-05-07,SHORT,RANGE,MID,0.857,-0.899,,
BTC-USDT-SWAP-SHORT-1778167593000-22,2026-05-07,SHORT,RANGE,MID,0.828,-0.928,,
BTC-USDT-SWAP-SHORT-1778167700000-24,2026-05-07,SHORT,RANGE,MID,1.053,-0.7,,
BTC-USDT-SWAP-LONG-1778198401000-1,2026-05-08,LONG,RANGE,MID,0.65,-1.102,,
BTC-USDT-SWAP-SHORT-1778199225000-2,2026-05-08,SHORT,RANGE,MID,1.114,-0.637,,
BTC-USDT-SWAP-SHORT-1778201933000-4,2026-05-08,SHORT,RANGE,MID,0.885,-0.871,,
BTC-USDT-SWAP-SHORT-1778202302000-5,2026-05-08,SHORT,RANGE,MID,0.729,-1.029,,
BTC-USDT-SWAP-LONG-1778200996000-3,2026-05-08,LONG,RANGE,MID,0.995,-0.763,,
BTC-USDT-SWAP-SHORT-1778207834000-9,2026-05-08,SHORT,RANGE,MID,0.515,-1.247,,
BTC-USDT-SWAP-LONG-1778202759000-6,2026-05-08,LONG,RANGE,MID,1.009,-0.749,,
BTC-USDT-SWAP-LONG-1778214008000-12,2026-05-08,LONG,RANGE,MID,1.242,-0.571,,
BTC-USDT-SWAP-LONG-1778206032000-7,2026-05-08,LONG,RANGE,MID,1.196,-0.565,,
BTC-USDT-SWAP-SHORT-1778225054000-15,2026-05-08,SHORT,TREND_DOWN,MID,0.012,-1.737,,
BTC-USDT-SWAP-SHORT-1778224901000-14,2026-05-08,SHORT,TREND_DOWN,MID,0.058,-1.764,,
BTC-USDT-SWAP-LONG-1778228694000-16,2026-05-08,LONG,RANGE,MID,1.154,-0.288,,
BTC-USDT-SWAP-SHORT-1778220545000-13,2026-05-08,SHORT,RANGE,MID,0.429,-1.386,,
BTC-USDT-SWAP-SHORT-1778231669000-19,2026-05-08,SHORT,RANGE,MID,0.56,-0.878,,
BTC-USDT-SWAP-LONG-1778230485000-17,2026-05-08,LONG,RANGE,MID,0.939,-0.501,,
BTC-USDT-SWAP-LONG-1778231153000-18,2026-05-08,LONG,RANGE,MID,0.899,-0.539,,
BTC-USDT-SWAP-LONG-1778237332000-20,2026-05-08,LONG,RANGE,MID,0.546,-0.887,,
BTC-USDT-SWAP-LONG-1778238427000-23,2026-05-08,LONG,RANGE,MID,0.557,-0.877,,
BTC-USDT-SWAP-LONG-1778206928000-8,2026-05-08,LONG,RANGE,MID,1.332,-0.431,,
BTC-USDT-SWAP-LONG-1778209808000-11,2026-05-08,LONG,RANGE,MID,1.196,-0.483,,
BTC-USDT-SWAP-LONG-1778209650000-10,2026-05-08,LONG,RANGE,MID,1.196,-0.483,,
BTC-USDT-SWAP-SHORT-1778237718000-21,2026-05-08,SHORT,RANGE,MID,0.856,-0.578,,
BTC-USDT-SWAP-SHORT-1778238313000-22,2026-05-08,SHORT,RANGE,MID,0.858,-0.576,,
BTC-USDT-SWAP-LONG-1778254248000-24,2026-05-08,LONG,RANGE,MID,0.911,-0.27,,
BTC-USDT-SWAP-LONG-1778285472000-2,2026-05-09,LONG,RANGE,MID,1.082,-0.112,,
BTC-USDT-SWAP-LONG-1778291005000-6,2026-05-09,LONG,RANGE,MID,0.888,-0.304,,
BTC-USDT-SWAP-LONG-1778292943000-7,2026-05-09,LONG,RANGE,MID,0.806,-0.385,,
BTC-USDT-SWAP-SHORT-1778284860000-1,2026-05-09,SHORT,RANGE,MID,0.026,-1.17,,
BTC-USDT-SWAP-SHORT-1778286008000-3,2026-05-09,SHORT,RANGE,MID,0.06,-1.135,,
BTC-USDT-SWAP-SHORT-1778290694000-5,2026-05-09,SHORT,RANGE,MID,0.386,-0.806,,
BTC-USDT-SWAP-SHORT-1778297069000-8,2026-05-09,SHORT,RANGE,MID,0.342,-0.85,,
BTC-USDT-SWAP-SHORT-1778288648000-4,2026-05-09,SHORT,RANGE,MID,0.143,-1.051,,
BTC-USDT-SWAP-LONG-1778307889000-10,2026-05-09,LONG,RANGE,MID,0.947,-0.246,,
BTC-USDT-SWAP-LONG-1778299940000-9,2026-05-09,LONG,RANGE,MID,0.652,-0.537,,
BTC-USDT-SWAP-LONG-1778341884000-11,2026-05-09,LONG,RANGE,MID,1.181,-0.056,,
BTC-USDT-SWAP-SHORT-1778373724000-3,2026-05-10,SHORT,RANGE,MID,0.496,-2.277,,
BTC-USDT-SWAP-SHORT-1778371211000-1,2026-05-10,SHORT,RANGE,MID,0.525,-2.247,,
BTC-USDT-SWAP-LONG-1778373266000-2,2026-05-10,LONG,RANGE,WEAK_WIN_2,2.183,-0.588,1337.1,
BTC-USDT-SWAP-LONG-1778375198000-4,2026-05-10,LONG,RANGE,WEAK_WIN_2,2.301,-0.473,1310.5,
BTC-USDT-SWAP-LONG-1778382222000-5,2026-05-10,LONG,RANGE,WEAK_WIN_2,2.148,-0.622,1189.9,
BTC-USDT-SWAP-SHORT-1778419619000-9,2026-05-10,SHORT,RANGE,MID,0.864,-1.899,,
BTC-USDT-SWAP-LONG-1778411110000-8,2026-05-10,LONG,RANGE,MID,1.939,-0.826,,
BTC-USDT-SWAP-LONG-1778420175000-10,2026-05-10,LONG,RANGE,MID,1.911,-0.852,,
BTC-USDT-SWAP-SHORT-1778384594000-6,2026-05-10,SHORT,RANGE,MID,0.621,-2.149,,
BTC-USDT-SWAP-SHORT-1778401840000-7,2026-05-10,SHORT,RANGE,MID,0.734,-2.033,,
BTC-USDT-SWAP-SHORT-1778425638000-11,2026-05-10,SHORT,RANGE,MID,0.873,-1.89,,
BTC-USDT-SWAP-LONG-1778428687000-14,2026-05-10,LONG,RANGE,MID,1.281,-1.465,,
BTC-USDT-SWAP-LONG-1778427951000-12,2026-05-10,LONG,RANGE,MID,1.352,-1.396,,
BTC-USDT-SWAP-SHORT-1778428321000-13,2026-05-10,SHORT,RANGE,MID,1.326,-1.424,,
BTC-USDT-SWAP-SHORT-1778459773000-4,2026-05-11,SHORT,RANGE,MID,1.571,-0.504,,
BTC-USDT-SWAP-SHORT-1778458305000-2,2026-05-11,SHORT,RANGE,MID,1.655,-0.419,,
BTC-USDT-SWAP-LONG-1778459036000-3,2026-05-11,LONG,RANGE,MID,0.458,-1.617,,
BTC-USDT-SWAP-SHORT-1778461285000-5,2026-05-11,SHORT,RANGE,MID,1.303,-0.779,,
BTC-USDT-SWAP-SHORT-1778461356000-6,2026-05-11,SHORT,RANGE,MID,1.303,-0.779,,
BTC-USDT-SWAP-SHORT-1778466188000-9,2026-05-11,SHORT,RANGE,MID,0.988,-1.1,,
BTC-USDT-SWAP-SHORT-1778466035000-8,2026-05-11,SHORT,RANGE,MID,0.965,-1.123,,
BTC-USDT-SWAP-LONG-1778457601000-1,2026-05-11,LONG,RANGE,MID,0.49,-1.585,,
BTC-USDT-SWAP-LONG-1778461568000-7,2026-05-11,LONG,RANGE,MID,0.919,-1.165,,
BTC-USDT-SWAP-LONG-1778466476000-10,2026-05-11,LONG,RANGE,MID,1.231,-0.86,,
BTC-USDT-SWAP-SHORT-1778469986000-14,2026-05-11,SHORT,RANGE,MID,0.238,-1.866,,
BTC-USDT-SWAP-SHORT-1778480041000-17,2026-05-11,SHORT,RANGE,MID,0.672,-1.423,,
BTC-USDT-SWAP-SHORT-1778474328000-16,2026-05-11,SHORT,RANGE,MID,0.443,-1.657,,
BTC-USDT-SWAP-SHORT-1778471357000-15,2026-05-11,SHORT,RANGE,MID,0.37,-1.731,,
BTC-USDT-SWAP-SHORT-1778469951000-13,2026-05-11,SHORT,RANGE,MID,0.203,-1.901,,
BTC-USDT-SWAP-LONG-1778468778000-11,2026-05-11,LONG,RANGE,MID,1.815,-0.287,,
BTC-USDT-SWAP-LONG-1778500804000-18,2026-05-11,LONG,RANGE,MID,1.287,-0.804,,
BTC-USDT-SWAP-SHORT-1778504003000-19,2026-05-11,SHORT,RANGE,MID,0.758,-1.334,,
BTC-USDT-SWAP-LONG-1778505231000-20,2026-05-11,LONG,RANGE,MID,0.993,-1.093,,
BTC-USDT-SWAP-LONG-1778505407000-21,2026-05-11,LONG,RANGE,MID,1.066,-1.021,,
BTC-USDT-SWAP-LONG-1778469544000-12,2026-05-11,LONG,RANGE,MID,1.862,-0.242,,
BTC-USDT-SWAP-LONG-1778513836000-22,2026-05-11,LONG,RANGE,MID,1.059,-1.359,,
BTC-USDT-SWAP-SHORT-1778544002000-1,2026-05-12,SHORT,RANGE,WEAK_WIN_2,2.353,0.0,1001.4,
BTC-USDT-SWAP-SHORT-1778544053000-2,2026-05-12,SHORT,RANGE,WEAK_WIN_2,2.353,0.0,1001.4,
BTC-USDT-SWAP-SHORT-1778546124000-5,2026-05-12,SHORT,RANGE,WEAK_WIN_2,2.129,-0.08,953.9,
BTC-USDT-SWAP-LONG-1778545038000-3,2026-05-12,LONG,RANGE,MID,0.119,-2.133,,
BTC-USDT-SWAP-LONG-1778545700000-4,2026-05-12,LONG,RANGE,MID,0.106,-2.104,,
BTC-USDT-SWAP-LONG-1778548692000-6,2026-05-12,LONG,RANGE,MID,0.225,-1.812,,
BTC-USDT-SWAP-SHORT-1778549369000-8,2026-05-12,SHORT,RANGE,MID,1.277,-0.608,,
BTC-USDT-SWAP-SHORT-1778581861000-9,2026-05-12,SHORT,RANGE,MID,1.056,-0.856,,
BTC-USDT-SWAP-LONG-1778583038000-10,2026-05-12,LONG,RANGE,MID,0.819,-1.092,,
BTC-USDT-SWAP-SHORT-1778584410000-11,2026-05-12,SHORT,RANGE,MID,0.887,-1.027,,
BTC-USDT-SWAP-LONG-1778548898000-7,2026-05-12,LONG,RANGE,MID,0.04,-1.835,,
BTC-USDT-SWAP-LONG-1778594514000-12,2026-05-12,LONG,RANGE,MID,0.844,-1.512,,
BTC-USDT-SWAP-LONG-1778594606000-13,2026-05-12,LONG,RANGE,MID,0.844,-1.512,,
