comparison,feature,median_win,median_noise,cohen_d,auc,precision_top_decile,recall,sign_stability_by_date,sign_stability_by_direction,live_valid
hit2_vs_noise,spread_now_bps,0.012,0.012,0.321,0.443,0.111,0.316,1.0,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
hit2_vs_noise,dist_to_range_mid_pct,0.244,0.263,-0.191,0.448,0.0,0.0,0.73,"{""LONG"": -0.08, ""SHORT"": 0.002}",YES
hit2_vs_noise,taker_imb_15m,-0.1507,-0.0523,-0.168,0.448,0.182,0.105,0.64,"{""LONG"": -0.128, ""SHORT"": -0.076}",YES
hit2_vs_noise,thin_path_score,0.0949,0.0947,0.114,0.55,0.25,0.158,0.73,"{""LONG"": 0.002, ""SHORT"": -0.001}",YES
hit2_vs_noise,ofi_slope_5m_30m,-1936.47,-5606.48,0.144,0.55,0.091,0.053,0.82,"{""LONG"": -2970.76, ""SHORT"": 10744.645}",YES
hit2_vs_noise,depth_imb_top25,0.4432,0.2361,0.16,0.546,0.182,0.105,0.82,"{""LONG"": 0.136, ""SHORT"": 0.277}",YES
hit2_vs_noise,wall_persistence_sec,283,286,0.394,0.455,0.154,0.105,0.45,"{""LONG"": 2, ""SHORT"": -4.5}",YES
hit2_vs_noise,sweep_high,0,0,0.182,0.535,0.222,0.211,0.91,"{""LONG"": 0, ""SHORT"": 0.0}",YES
hit2_vs_noise,taker_imb_5m,-0.1584,-0.1673,0.147,0.534,0.273,0.158,0.45,"{""LONG"": 0.059, ""SHORT"": -0.02}",YES
hit2_vs_noise,rejection_proof,1,1,0.193,0.533,0.172,0.895,0.82,"{""LONG"": 0, ""SHORT"": 0.0}",YES
hit2_vs_noise,net_flow_5m,2817.44,3057.82,-0.067,0.473,0.273,0.158,0.55,"{""LONG"": -1983.66, ""SHORT"": 896.41}",YES
hit2_vs_noise,prior_move_180m,-0.1463,0.0185,0.218,0.526,0.273,0.158,0.27,"{""LONG"": -0.314, ""SHORT"": 0.316}",YES
hit2_vs_noise,supp_refill_ratio_5m,1.0008,1.0007,-0.136,0.476,0.154,0.105,0.36,"{""LONG"": 0.0, ""SHORT"": 0.0}",YES
hit2_vs_noise,sweep_low,0,0,-0.115,0.478,0.168,0.842,0.73,"{""LONG"": 0, ""SHORT"": 0.0}",YES
hit2_vs_noise,entropy,0.3277,0.3431,-0.117,0.478,0.083,0.053,0.64,"{""LONG"": -0.057, ""SHORT"": 0.048}",YES
