cluster_id,rep_zone_id,date,direction,confirmedTs,entry,outcome_class,hit2,hit2_5,hit3,MFE,MAE,time_to_2_min,time_to_2_5_min,time_to_3_min,zones_in_cluster,duplicate_count,regime,setup_family,is_live_detectable,range_pos,dist_to_range_low_pct,dist_to_range_high_pct,dist_to_range_mid_pct,sweep_high,sweep_low,reclaim_zoneMid,rejection_proof,OFI,taker_imb_15m,taker_imb_5m,microprice_5m_bps,thin_path_score,opposing_wall_score,wall_persistence_sec,refill_proxy_eng,supp_refill_ratio_5m,entropy,prior_move_60m,prior_move_180m,prior_move_1d,local_volatility_180m,net_flow_5m,depth_imb_top25
noise|SHORT|2026-05-06|1778073901000,BTC-USDT-SWAP-SHORT-1778073528000-29,2026-05-06,SHORT,1778073901000,81950.9,NOISE,0,0,0,1.739,-0.844,,,,3,2,RANGE,UNCLEAR,0,0.159,0.159,0.841,0.34099999999999997,0,0,1,1,-0.17148349650893774,-0.0565,-0.0904,1.222,0.0991,63,287,0.5012628573809783,1.0015,0.4645,-0.5261,-0.2308,0.5533,1.2349,4702.46,-0.3457
noise|SHORT|2026-05-07|1778115608000,BTC-USDT-SWAP-SHORT-1778115168000-7,2026-05-07,SHORT,1778115608000,80982.0,NOISE,0,0,0,1.928,-1.025,,,,2,1,RANGE,ABSORPTION_REVERSAL,1,0.125,0.125,0.875,0.375,0,0,1,1,-0.31172906112991344,-0.1905,-0.0967,0.643,0.0938,90,275,0.4979325609422848,0.9993,0.3175,-0.4826,-0.6173,-0.0222,0.7107,-4974.19,-0.0912
noise|SHORT|2026-05-07|1778169356000,BTC-USDT-SWAP-SHORT-1778168862000-27,2026-05-07,SHORT,1778169356000,79939.9,NOISE,0,0,0,1.705,-0.928,,,,7,6,RANGE,ABSORPTION_REVERSAL,1,0.198,0.198,0.802,0.302,0,1,1,1,-0.22811095837815876,-0.1397,-0.0994,7.499,0.0934,83,287,0.4994846495384225,0.9999,0.3306,-0.3864,-1.4377,-2.1449,1.9014,-1405.5,-0.5528
noise|SHORT|2026-05-08|1778199405000,BTC-USDT-SWAP-SHORT-1778199225000-2,2026-05-08,SHORT,1778199405000,80010.1,NOISE,0,0,0,1.114,-1.247,,,,4,3,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.895,0.895,0.10499999999999998,0.395,0,0,1,1,-0.505817824215559,-0.2207,-0.2071,6.61,0.0948,64,293,0.5011764072921746,1.006,0.1849,0.1095,0.3462,-1.6518,0.6593,15134.67,0.9337
noise|SHORT|2026-05-08|1778225081000,BTC-USDT-SWAP-SHORT-1778224901000-14,2026-05-08,SHORT,1778225081000,79251.9,NOISE,0,0,0,0.858,-1.764,,,,6,5,TREND_DOWN,BREAKOUT_RETEST,1,0.016,0.016,0.984,0.484,0,0,1,1,-0.05418296213525678,-0.0373,-0.1689,7.098,0.099,50,288,0.4996360192477984,1.0005,0.2888,-0.3698,-0.5688,-2.8392,0.6385,2249.16,0.2825
noise|SHORT|2026-05-09|1778288885000,BTC-USDT-SWAP-SHORT-1778288648000-4,2026-05-09,SHORT,1778288885000,80205.0,NOISE,0,0,0,0.386,-1.17,,,,5,4,RANGE,ABSORPTION_REVERSAL,1,0.486,0.486,0.514,0.014000000000000012,0,0,1,0,0.1318200998383798,-0.2779,-0.1867,-0.0,0.0966,75,0,0.502703297911057,0.9998,0.377,0.1278,-0.0977,0.5767,0.3945,443.5,-0.5405
noise|SHORT|2026-05-10|1778371395000,BTC-USDT-SWAP-SHORT-1778371211000-1,2026-05-10,SHORT,1778371395000,80651.6,NOISE,0,0,0,0.525,-2.277,,,,2,1,RANGE,UNCLEAR,0,0.234,0.234,0.766,0.266,0,0,0,1,0.06029110723275276,-0.3463,-0.3509,,0.0904,78,192,0.508239542803741,1.0266,0.496,-0.1368,-0.1837,0.6752,0.359,-697.31,0.5507
noise|SHORT|2026-05-10|1778386511000,BTC-USDT-SWAP-SHORT-1778384594000-6,2026-05-10,SHORT,1778386511000,80729.0,NOISE,0,0,0,0.621,-2.149,,,,1,0,RANGE,UNCLEAR,0,0.622,0.622,0.378,0.122,0,0,1,0,-0.035719321171271655,0.1117,-0.1679,0.452,0.0933,72,289,0.4996720908690698,0.9996,0.1819,-0.0077,0.1602,0.2528,0.388,-431.37,-0.4377
noise|SHORT|2026-05-10|1778402020000,BTC-USDT-SWAP-SHORT-1778401840000-7,2026-05-10,SHORT,1778402020000,80821.1,NOISE,0,0,0,0.734,-2.033,,,,1,0,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.718,0.718,0.28200000000000003,0.21799999999999997,0,0,1,0,0.11727831722158302,-0.3733,-0.2713,4.81,0.093,53,289,0.5022342383750922,1.0033,0.2259,0.1017,0.1305,0.5479,0.3473,8926.2,0.5159
noise|SHORT|2026-05-10|1778419801000,BTC-USDT-SWAP-SHORT-1778419619000-9,2026-05-10,SHORT,1778419801000,80927.6,NOISE,0,0,0,1.326,-1.899,,,,3,2,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.823,0.823,0.17700000000000005,0.32299999999999995,0,0,1,0,0.2740170856147211,-0.3416,-0.5425,-0.335,0.0955,73,292,0.49900191065591176,1.0046,0.3401,0.0576,0.1859,0.7616,0.3321,5666.99,0.4069
