window_id,direction,bybit_cluster,okx_cluster,lead_lag_min,bybit_state,okx_state,bybit_hit2,okx_hit2,agree_state
W4_APRIL,LONG,By-W4_APRIL-LONG-34,OK-W4_APRIL-LONG-35,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-35,OK-W4_APRIL-LONG-36,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-36,OK-W4_APRIL-LONG-37,0,UNKNOWN,NO_CONTROL_CHOP,1,1,0
W4_APRIL,LONG,By-W4_APRIL-LONG-37,OK-W4_APRIL-LONG-38,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,LONG,By-W4_APRIL-LONG-38,OK-W4_APRIL-LONG-39,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,LONG,By-W4_APRIL-LONG-39,OK-W4_APRIL-LONG-40,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,LONG,By-W4_APRIL-LONG-40,OK-W4_APRIL-LONG-41,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-42,OK-W4_APRIL-LONG-42,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-43,OK-W4_APRIL-LONG-43,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,LONG,By-W4_APRIL-LONG-44,OK-W4_APRIL-LONG-44,0,UNKNOWN,NO_CONTROL_CHOP,1,1,0
W4_APRIL,LONG,By-W4_APRIL-LONG-45,OK-W4_APRIL-LONG-45,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,LONG,By-W4_APRIL-LONG-46,OK-W4_APRIL-LONG-46,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-47,OK-W4_APRIL-LONG-47,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,LONG,By-W4_APRIL-LONG-49,OK-W4_APRIL-LONG-48,0,UNKNOWN,UNKNOWN,0,0,1
