cluster_id,exchange,window_id,date,ts_start,direction_candidate,entry_price,future_mfe_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2,time_to_2_5,time_to_3,duplicate_cluster_size,is_primary_cluster
OK-W3_JANUARY-SHORT-5,OKX,W3_JANUARY,2026-01-29,2026-01-29T19:35:00+00:00,SHORT,84081.05,2.672,1,0,0,0,0,WIN,366,,,5,1
OK-W3_JANUARY-SHORT-6,OKX,W3_JANUARY,2026-01-30,2026-01-30T03:01:00+00:00,SHORT,82010.45,0.0,0,0,0,1,0,LOSS,,,,1,1
OK-W3_JANUARY-SHORT-7,OKX,W3_JANUARY,2026-01-30,2026-01-30T05:10:00+00:00,SHORT,82940.85,1.121,0,0,0,0,1,TIMEOUT,,,,8,1
OK-W3_JANUARY-SHORT-8,OKX,W3_JANUARY,2026-01-30,2026-01-30T16:34:00+00:00,SHORT,83039.05,1.644,0,0,0,1,0,LOSS,,,,4,1
OK-W3_JANUARY-SHORT-9,OKX,W3_JANUARY,2026-01-30,2026-01-30T22:51:00+00:00,SHORT,84084.25,1.654,0,0,0,0,1,TIMEOUT,,,,3,1
OK-W3_JANUARY-SHORT-10,OKX,W3_JANUARY,2026-01-31,2026-01-31T02:42:00+00:00,SHORT,84080.35,1.748,0,0,0,0,1,TIMEOUT,,,,4,1
OK-W3_JANUARY-SHORT-11,OKX,W3_JANUARY,2026-01-31,2026-01-31T08:03:00+00:00,SHORT,83520.25,2.637,1,0,0,0,0,WIN,383,,,9,1
OK-W3_JANUARY-SHORT-12,OKX,W3_JANUARY,2026-01-31,2026-01-31T19:11:00+00:00,SHORT,78103.85,1.285,0,0,0,0,1,TIMEOUT,,,,5,1
OK-W3_JANUARY-LONG-13,OKX,W3_JANUARY,2026-01-28,2026-01-28T14:42:00+00:00,LONG,89692.45,1.511,0,0,0,0,1,TIMEOUT,,,,2,1
OK-W3_JANUARY-LONG-14,OKX,W3_JANUARY,2026-01-28,2026-01-28T18:54:00+00:00,LONG,89446.65,0.352,0,0,0,1,0,LOSS,,,,1,1
OK-W3_JANUARY-LONG-15,OKX,W3_JANUARY,2026-01-28,2026-01-28T21:04:00+00:00,LONG,88946.75,0.542,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W3_JANUARY-LONG-16,OKX,W3_JANUARY,2026-01-29,2026-01-29T01:56:00+00:00,LONG,88547.35,0.179,0,0,0,0,1,TIMEOUT,,,,2,1
OK-W3_JANUARY-LONG-17,OKX,W3_JANUARY,2026-01-29,2026-01-29T14:55:00+00:00,LONG,87416.15,1.436,0,0,0,1,0,LOSS,,,,6,1
OK-W3_JANUARY-LONG-18,OKX,W3_JANUARY,2026-01-30,2026-01-30T00:55:00+00:00,LONG,84170.85,1.865,0,0,0,1,0,LOSS,,,,3,1
OK-W3_JANUARY-LONG-19,OKX,W3_JANUARY,2026-01-30,2026-01-30T06:30:00+00:00,LONG,82334.95,1.1,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W3_JANUARY-LONG-20,OKX,W3_JANUARY,2026-01-30,2026-01-30T13:08:00+00:00,LONG,82590.45,2.006,1,0,0,0,0,WIN,358,,,1,1
OK-W3_JANUARY-LONG-21,OKX,W3_JANUARY,2026-01-30,2026-01-30T15:33:00+00:00,LONG,82631.25,2.033,1,0,0,0,0,WIN,226,,,2,1
OK-W3_JANUARY-LONG-22,OKX,W3_JANUARY,2026-01-30,2026-01-30T18:24:00+00:00,LONG,81991.95,2.135,1,0,0,0,0,WIN,29,,,2,1
OK-W3_JANUARY-LONG-23,OKX,W3_JANUARY,2026-01-31,2026-01-31T08:15:00+00:00,LONG,83184.55,0.098,0,0,0,1,0,LOSS,,,,1,1
OK-W3_JANUARY-LONG-24,OKX,W3_JANUARY,2026-01-31,2026-01-31T14:17:00+00:00,LONG,82373.75,0.0,0,0,0,1,0,LOSS,,,,1,1
OK-W3_JANUARY-LONG-25,OKX,W3_JANUARY,2026-01-31,2026-01-31T16:49:00+00:00,LONG,80419.05,2.01,0,0,0,1,0,LOSS,,,,4,1
By-W4_APRIL-SHORT-0,Bybit,W4_APRIL,2024-04-12,2024-04-12T01:07:00+00:00,SHORT,70282.35,0.27,0,0,0,0,1,TIMEOUT,,,,3,1
By-W4_APRIL-SHORT-1,Bybit,W4_APRIL,2024-04-12,2024-04-12T06:58:00+00:00,SHORT,70919.25,2.187,1,0,0,0,0,WIN,472,,,5,1
