window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29394315,2025-11-20,2025-11-20T17:15:00+00:00,LONG,87114.75,1.216,1.171,0,0,0,0,1,TIMEOUT,,,,-1.757,-4.068,0.146,0.417,5.468,1.838,0.019,0.0251,-709.158,-0.0593,156.789,-1.239,0.53,1.55,0.0735,11953.244
W1_NOVEMBER,Bybit,29394368,2025-11-20,2025-11-20T18:08:00+00:00,SHORT,87364.45,1.454,0.926,0,0,0,0,1,TIMEOUT,,,,-0.205,-3.695,0.146,0.929,4.547,0.898,0.011,0.2172,769.411,0.162,-241.447,0.552,0.419,0.72,0.0893,4750.053
W1_NOVEMBER,Bybit,29394415,2025-11-20,2025-11-20T18:55:00+00:00,LONG,86366.65,2.004,0.315,1,0,0,0,0,WIN,214,,,-0.879,-4.162,0.146,0.104,5.273,0.798,0.015,-0.0456,-699.509,-0.2241,-397.289,-0.688,0.612,0.47,0.1543,3121.373
W1_NOVEMBER,Bybit,29394444,2025-11-20,2025-11-20T19:24:00+00:00,SHORT,86660.05,0.428,1.642,0,0,0,1,0,LOSS,,,,-0.294,-2.211,0.14,0.657,4.484,0.828,0.012,-0.1696,1080.625,0.2049,319.673,0.307,0.398,0.74,0.0629,5273.043
W1_NOVEMBER,Bybit,29394504,2025-11-20,2025-11-20T20:24:00+00:00,SHORT,86646.35,0.274,1.503,0,0,0,1,0,LOSS,,,,-0.016,-0.446,0.118,0.641,2.572,0.743,0.012,-0.0457,189.136,0.0631,-776.732,0.086,0.468,0.64,0.0054,2998.792
W1_NOVEMBER,Bybit,29394547,2025-11-20,2025-11-20T21:07:00+00:00,SHORT,86698.85,0.0,1.596,0,0,0,1,0,LOSS,,,,0.088,-0.606,0.105,0.702,1.093,0.455,0.012,0.1203,-67.873,-0.0362,-148.702,0.093,0.518,0.69,-0.0034,1874.421
W1_NOVEMBER,Bybit,29394683,2025-11-20,2025-11-20T23:23:00+00:00,LONG,87330.75,0.127,1.685,0,0,0,1,0,LOSS,,,,-0.59,0.506,0.094,1.207,0.956,1.04,0.018,-0.2733,-600.047,-0.2021,-1059.666,-0.762,0.601,1.26,0.154,2968.835
W1_NOVEMBER,Bybit,29394714,2025-11-20,2025-11-20T23:54:00+00:00,LONG,86732.15,0.818,1.531,0,0,0,1,0,LOSS,,,,-1.362,0.328,0.093,0.514,1.635,0.924,0.012,0.3167,-860.651,-0.2762,-1457.159,-0.788,0.638,1.23,0.2177,3115.967
W1_NOVEMBER,Bybit,29394732,2025-11-21,2025-11-21T00:12:00+00:00,SHORT,87064.15,2.236,0.434,1,0,0,0,0,WIN,428,,,-0.446,0.25,0.099,0.898,1.258,0.665,0.011,0.2661,-181.031,-0.0608,-1051.086,0.101,0.53,1.22,-0.0062,2978.623
W1_NOVEMBER,Bybit,29394847,2025-11-21,2025-11-21T02:07:00+00:00,LONG,86788.55,0.015,1.595,0,0,0,1,0,LOSS,,,,-0.604,-0.954,0.101,0.314,1.571,0.735,0.012,0.1915,-438.753,-0.3177,-684.107,-0.199,0.659,0.66,0.0632,1381.147
W1_NOVEMBER,Bybit,29394886,2025-11-21,2025-11-21T02:46:00+00:00,LONG,86156.55,0.166,1.598,0,0,0,1,0,LOSS,,,,-1.16,-0.88,0.112,0.346,2.272,0.986,0.012,0.0769,-1120.627,-0.2075,-1754.994,-0.391,0.604,1.87,0.0812,5399.365
W1_NOVEMBER,Bybit,29394947,2025-11-21,2025-11-21T03:47:00+00:00,SHORT,86008.05,3.379,0.339,1,1,1,0,0,WIN,226,226,226,-0.125,-1.483,0.12,0.707,1.64,0.697,0.012,-0.2416,325.651,0.1576,-384.249,0.553,0.421,0.85,0.0871,2065.771
W1_NOVEMBER,Bybit,29395001,2025-11-21,2025-11-21T04:41:00+00:00,LONG,85508.15,0.926,2.814,0,0,0,1,0,LOSS,,,,-0.585,-1.83,0.119,0.132,2.19,0.53,0.013,0.0294,-9.509,-0.007,-58.371,-0.19,0.504,0.63,0.0013,1354.971
